Release Date,Movie Title,Production Budget,Domestic Gross,Worldwide Gross,Profit,Profit%
4/23/2019,Avengers: Endgame,400000000,858373000,2797800564,2397800564,599.450141
5/20/2011,Pirates of the Caribbean: On Stranger Tides,379000000,241071802,1045713802,666713802,175.9139319
4/22/2015,Avengers: Age of Ultron,365000000,459005868,1395316979,1030316979,282.2786244
12/16/2015,Star Wars Ep. VII: The Force Awakens,306000000,936662225,2064615817,1758615817,574.7110513
4/25/2018,Avengers: Infinity War,300000000,678815482,2044540523,1744540523,581.5135077
5/24/2007,Pirates of the Caribbean: At World’s End,300000000,309420425,960996492,660996492,220.332164
11/13/2017,Justice League,300000000,229024295,655945209,355945209,118.648403
10/6/2015,Spectre,300000000,200074175,879500760,579500760,193.16692
12/18/2019,Star Wars: The Rise of Skywalker,275000000,515202542,1072848487,797848487,290.1267225
5/23/2018,Solo: A Star Wars Story,275000000,213767512,393151347,118151347,42.96412618
3/7/2012,John Carter,263700000,73058679,282778100,19078100,7.234774365
3/23/2016,Batman v Superman: Dawn of Justice,263000000,330360194,872395091,609395091,231.7091601
12/13/2017,Star Wars Ep. VIII: The Last Jedi,262000000,620181382,1331635141,1069635141,408.2576874
7/11/2019,The Lion King,260000000,543638043,1654367425,1394367425,536.2951635
11/24/2010,Tangled,260000000,200821936,584899819,324899819,124.9614688
5/4/2007,Spider-Man 3,258000000,336530303,894860230,636860230,246.8450504
4/22/2016,Captain America: Civil War,250000000,408084349,1151918521,901918521,360.7674084
7/15/2009,Harry Potter and the Half-Blood Prince,250000000,302089278,929411069,679411069,271.7644276
12/12/2013,The Hobbit: The Desolation of Smaug,250000000,258241522,959358436,709358436,283.7433744
12/10/2014,The Hobbit: The Battle of the Five Armies,250000000,255119788,940389558,690389558,276.1558232
4/7/2017,The Fate of the Furious,250000000,225764765,1236703796,986703796,394.6815184
9/29/2021,No Time to Die,250000000,159740451,761155836,511155836,204.4623344
12/17/2009,Avatar,237000000,760507625,2845899541,2608899541,1100.801494
6/28/2006,Superman Returns,232000000,200120000,391081192,159081192,68.56947931
7/19/2012,The Dark Knight Rises,230000000,448139099,1082228107,852228107,370.5339596
